Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
156,2.0161,14.0535,19.5198,3.8326,15.6248,16.8445,10.6710
157,2.9199,14.7397,25.9365,5.2290,17.6836,17.7440,13.9997
158,2.1414,13.7717,9.2229,10.7605,9.5595,9.1336,9.0655
159,1.4025,1.6845,2.2234,3.2461,2.5425,0.1039,1.8677
160,1.3180,0.1225,8.6095,1.7841,2.4583,7.3731,3.1058
161,1.3773,1.3305,0.8311,0.5231,1.2036,0.3665,0.6645
162,5.1822,5.6297,16.3606,17.9713,13.3418,17.5510,12.6232
163,4.9095,0.6576,2.5729,0.5377,10.0470,2.9099,0.8020
164,13.0096,13.3128,14.3587,8.0457,13.5899,8.1273,11.7602
165,38.0987,1.2349,9.0925,4.4337,7.8995,0.9984,8.9794
166,3.2916,12.2590,5.4227,6.8882,9.2316,7.1419,7.3537
167,10.0671,4.9007,10.1156,6.6587,4.6122,6.3742,7.1398
168,1.4747,1.0209,11.4495,6.3736,10.0103,10.0127,6.6938
169,2.1269,5.1296,4.8622,6.9797,3.6890,5.3286,1.7376
170,2.8992,2.8505,0.6889,2.1376,2.7199,1.8865,2.1999
171,20.0806,7.6191,20.1589,10.7694,9.5471,17.9226,14.3760
172,0.0766,3.2168,5.6524,6.1510,5.7200,2.6355,3.8662
173,10.4114,11.6725,6.5507,4.9189,19.6340,5.6724,9.8218
174,14.8601,15.3118,16.1989,9.8077,15.4118,11.6973,13.8964
175,3.3946,4.9794,5.6213,6.9648,4.9690,6.6403,5.4148
176,16.5780,20.1355,24.7842,15.6754,16.5062,20.4537,19.0166
177,5.8767,7.7864,7.1358,8.9514,9.1328,9.9658,8.1250
178,3.3434,3.4694,5.3863,16.5007,2.5074,6.4493,6.2519
179,6.3135,9.9864,9.4068,6.7839,11.3497,11.1589,9.1509
180,8.3855,10.8247,8.7770,15.0540,8.3870,7.3845,9.7957
181,5.6543,11.0559,8.5265,11.6574,12.4784,8.7270,9.6634
182,1.2844,5.8222,0.4119,1.7644,5.2643,0.3165,1.2116
183,15.5405,14.6894,16.4060,0.6291,14.0506,18.3220,13.0789
184,9.6460,15.3058,13.1621,8.3673,13.1806,17.1316,12.7797
185,19.9818,13.6329,12.9611,7.6800,11.8035,19.0737,14.2105
186,12.6018,36.4001,23.7265,42.2032,38.8083,29.1610,30.3860
187,0.6764,6.9341,4.6301,6.9163,5.8510,5.1313,5.0009
188,0.6069,1.3868,0.8670,3.1546,4.7963,3.4331,2.3607
189,5.2758,10.1225,5.7683,5.7213,9.4630,10.1624,7.7358
190,9.6688,5.0724,9.4611,4.3976,5.7125,5.0748,6.5866
191,6.6377,1.4587,5.7780,5.2470,2.1884,1.3846,3.8011
192,25.5721,21.0268,25.4203,19.1544,21.6605,21.1795,22.3586
193,2.6693,0.9113,3.5564,0.8254,0.4026,1.0206,0.9347
194,5.8559,21.7850,17.9795,2.4151,18.5049,8.2326,9.6553
195,32.1447,17.0912,23.8572,19.9743,10.9786,15.0283,19.9184
196,2.2816,11.9964,4.4911,3.1370,10.4944,3.2935,5.9397
197,4.6416,14.3564,6.8511,5.4970,12.8544,5.6535,8.2997
198,2.8061,1.8737,3.5889,1.6063,0.0598,3.1027,1.0009
199,5.4654,0.9004,5.1264,5.5154,1.3326,0.7364,3.1948
200,10.8767,15.1464,9.7420,4.5782,13.7324,9.9972,10.6866
201,6.5864,1.0974,1.4315,7.7896,0.2661,4.5242,1.0050
202,4.6115,18.9403,8.6119,10.9569,15.7258,9.0634,11.2910
203,3.0713,4.3661,3.5148,8.8615,4.7848,2.5380,1.8863
204,10.1816,19.8964,5.8881,4.3172,18.3944,8.5450,11.2074
205,2.6616,12.3764,4.8711,3.5136,10.8744,3.6735,6.3191
206,2.1084,2.0431,0.1011,1.4834,1.9336,1.0965,1.4299
207,2.9872,2.3644,1.6664,7.3038,2.7075,1.0547,3.0130
208,20.4619,16.6067,24.0102,23.0220,17.0901,17.1049,19.7256
209,6.9062,5.0846,13.9423,5.4851,6.0861,4.8193,7.0652
210,41.8599,36.6416,35.4183,48.6426,41.7915,50.5366,42.4479
211,0.1081,11.8379,10.2377,5.0452,17.4198,8.3784,8.8016
212,3.9907,4.2209,6.3174,3.9724,5.2416,5.8646,4.9299
213,9.7181,10.6419,5.4249,3.0717,8.9024,4.9634,7.1401
214,1.6784,8.0364,0.5311,0.8230,6.5344,0.6665,1.9797
215,1.6784,8.0364,0.5311,0.9971,6.5344,0.6665,1.9509
216,2.6595,1.8144,2.4454,1.8115,1.0978,1.8791,0.3700
217,4.3345,0.2134,4.1691,2.3701,0.4092,0.7950,1.9923
218,10.9891,14.1380,10.7214,10.3226,8.3595,7.4312,10.3383
219,14.3064,9.7918,13.8868,10.8043,10.6745,12.5911,12.0210
220,2.4664,2.3690,1.7373,0.4145,0.2416,3.7327,1.2468
221,2.7813,7.7027,1.8063,6.3349,2.6936,1.3347,3.3357
222,8.0137,11.1864,8.8373,15.2814,9.1392,6.0543,9.7467
223,2.4316,6.5793,4.6411,1.4542,10.6443,3.4435,4.8595
224,1.9116,6.0593,4.1211,2.7538,3.9710,2.9235,3.6188
225,5.7912,5.5885,13.3668,8.7921,6.0378,9.9429,8.2416
226,6.6667,10.0194,14.8008,7.8867,9.8193,11.4869,10.1003
227,0.6932,1.4679,7.3609,2.2407,3.4321,4.4527,3.2638
228,2.2004,5.2111,3.3793,0.5846,3.1234,7.4809,3.6512
229,18.1370,12.5099,20.2558,22.4453,16.3083,26.5543,19.3436
230,2.4505,17.1532,4.8162,11.4612,17.2802,4.0608,8.6727
231,5.1332,9.1233,12.5888,16.1375,12.0115,11.5071,11.0507
232,2.3498,2.1158,7.1744,6.6507,3.4558,2.6348,0.5132
233,4.2428,5.7221,1.1677,4.6130,4.3446,3.3115,0.5521
234,15.3761,11.6203,15.5679,21.2469,12.9809,18.8431,15.9245
235,5.2807,0.7286,5.0232,0.6923,1.4266,1.7681,2.2758
236,0.0778,2.9966,0.1829,0.9288,0.0412,0.1524,0.7283
237,0.6793,5.5355,1.5463,0.4789,3.4841,7.0599,3.1123
238,13.5036,9.0261,13.2468,7.4419,9.6803,10.0497,10.5114
239,1.3078,7.7610,3.9056,0.9492,7.0397,7.1469,4.3530
240,3.6458,4.9731,4.6024,3.1634,3.1069,4.9159,3.0198
241,7.5538,9.6529,4.5626,7.9638,1.5853,1.7826,2.8974
242,1.2993,2.6367,0.9704,3.6323,0.4364,0.2203,0.1850
243,11.1309,16.0222,11.7211,11.0968,15.4097,15.2653,13.4272
244,3.8409,1.0892,4.6151,3.2143,2.8574,5.1312,2.3939
245,6.6537,19.4692,15.0926,10.6665,17.1880,19.0677,14.6473
246,3.1893,8.6515,13.6195,10.1393,11.4893,15.9596,10.4642
247,5.0352,1.2118,2.3979,5.1604,4.8585,3.6662,3.7245
248,1.6309,6.3659,10.1103,5.8127,4.6565,1.9699,3.1637
249,0.6879,1.2753,6.1871,3.6768,4.3938,0.9501,0.2424
250,8.5778,3.4240,10.0133,12.8983,10.3154,7.4046,8.7697
251,2.0216,6.1693,4.2311,0.7477,10.2344,3.0335,4.1532
252,2.1718,8.1139,1.1178,9.3138,8.4480,7.6499,6.1068
253,3.5781,8.2613,8.2135,5.2451,7.9474,8.6629,6.9679
254,4.9187,0.1104,4.4999,4.5751,0.7487,0.1160,2.5109
255,2.8430,5.0280,2.7104,2.4566,2.0033,3.5077,0.6034
256,3.9092,3.9328,8.8476,0.3483,2.2245,0.8979,3.2607
257,3.1762,0.2468,5.6719,4.3191,5.3665,8.8754,1.6115
258,0.4568,11.6929,6.2236,3.6933,10.2467,8.6946,6.8037
259,3.1064,1.1255,0.4172,3.9031,1.2908,0.3388,1.1890
260,4.0806,3.2933,1.3511,3.7079,7.3418,0.1535,0.7078
261,8.0197,6.6464,15.9936,22.2868,10.8000,10.5486,12.3589
262,15.2158,16.9940,4.3334,0.2991,8.6223,2.8331,8.1009
263,7.6300,2.2844,3.1823,3.2992,0.3321,2.1476,1.4011
264,5.6860,17.4169,21.1047,2.9771,19.3406,13.4363,13.3069
265,30.7222,40.4306,42.9761,47.6877,39.9734,38.9708,40.0810
266,22.9733,21.8795,24.9062,19.2795,21.8940,19.7681,21.7984
267,12.2054,8.8609,11.1899,2.3364,7.1684,2.8307,6.7001
268,1.4273,6.1576,1.1411,4.3863,4.9117,0.0568,1.0531
269,4.4612,8.4764,0.9711,4.2638,6.9744,0.2265,1.2272
270,7.5879,12.6580,16.2086,12.1301,13.6627,12.7536,12.4799
271,4.8696,0.1432,4.5284,8.3879,0.8283,1.4706,3.3786
272,5.8309,1.1385,2.5394,2.2000,0.6091,0.8538,2.2156
273,11.0089,11.2754,5.7321,7.4023,11.6056,6.0366,8.8584
274,7.5526,9.4969,8.8042,4.7749,9.5826,9.1431,8.2243
275,8.1949,3.3179,10.9496,6.1995,5.8853,11.4596,7.6653
276,25.6723,30.7531,24.8855,43.5077,28.6402,24.0342,29.5598
277,1.1480,2.9992,1.0611,4.0510,0.8658,0.1365,0.0678
278,4.8541,8.0564,0.5511,5.6720,6.5544,0.6465,0.6484
279,14.6197,5.8504,7.7801,2.6408,6.1179,8.1088,7.5561
280,25.0994,16.8526,18.3386,13.2157,17.3078,18.5361,18.2610
281,7.4579,0.2281,0.9871,4.5943,0.7548,1.3484,0.9886
282,18.3872,9.2333,11.5454,6.4480,9.3445,11.7538,11.1558
283,17.4702,8.1925,10.5983,5.5881,8.2668,10.8229,10.1936
284,3.2106,0.9500,0.4423,5.2642,3.3341,0.8073,0.3316
285,10.3691,0.4944,8.0068,1.8622,3.8005,1.3177,3.7320
286,1.1409,9.4243,11.3174,4.4974,10.5787,10.0479,7.8042
287,2.2809,2.2983,3.4331,0.4223,3.6967,1.6419,2.1596
288,0.6521,5.2405,0.8416,3.3517,4.6072,5.2268,3.3014
289,2.4235,2.1812,2.2021,0.4231,1.5304,2.1856,0.2636
290,3.5332,1.3068,3.0184,3.8298,0.5929,1.3802,1.1990
291,3.0390,1.1171,1.8543,4.5115,0.6731,1.3124,1.4928
292,6.0063,2.6164,7.3200,4.4573,1.8523,2.5876,4.1547
293,1.2873,16.9553,10.8025,0.1635,15.4006,20.3133,10.7114
294,37.6759,8.8315,10.1640,3.2970,4.4303,4.0683,9.1321
295,2.9555,8.4134,4.7111,2.2554,11.3252,5.2983,3.3317
296,4.3571,6.9997,6.0911,4.5378,11.9434,8.2354,2.8098
297,3.9233,0.6618,5.6421,2.8504,2.1541,1.6602,2.8250
298,4.1051,7.1740,8.2519,4.6519,6.8957,7.5337,6.4254
299,11.2559,4.9090,0.3829,15.4000,0.9442,9.6938,3.2509
300,3.5907,2.1075,0.0445,0.2331,2.1906,1.9733,1.6832
301,1.5269,4.5752,1.8857,2.0905,4.3203,4.9045,3.2056
302,0.4662,10.8528,10.1045,0.5066,15.0411,3.9357,6.6347
303,2.3187,3.8600,5.7911,3.1789,1.2642,10.5835,1.3308
304,4.2121,9.6630,5.9611,5.0186,16.3844,4.3039,5.9219
305,4.5661,1.7895,6.3011,1.7881,1.2880,5.8907,0.0595
306,2.7281,17.2698,4.4124,1.3549,14.0692,8.1086,7.9699
307,4.7201,10.1809,2.4413,4.6002,5.5696,1.4729,0.8865
308,1.7724,11.2255,4.7215,2.7957,5.0937,8.6103,5.6820
