Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred
59.0700,57.0712,49.8226,58.1869,49.4088,51.2408,55.4971,53.5574
56.9700,51.2722,34.7433,40.6400,53.5330,34.8248,42.6981,42.9792
3.5700,4.5182,10.0289,2.2858,7.6536,10.5329,3.4826,6.4099
52.8800,60.4048,60.3218,59.0415,66.9971,60.0958,65.3333,62.0104
65.0700,57.7622,65.2055,56.6439,62.8756,63.0905,61.4219,61.1454
52.4800,52.7072,55.5474,53.6868,52.6256,58.8740,54.9854,54.7280
51.1700,57.7780,56.0601,46.8633,41.6016,49.8764,48.0081,50.0787
40.8500,54.3692,53.2860,39.2499,33.9657,44.2531,42.4063,44.6466
12.1300,14.0281,10.6268,17.3970,6.4869,10.7913,6.1547,10.9487
3.5700,6.2070,11.0834,9.6133,13.6393,15.1992,14.8144,11.7222
3.1400,4.5730,4.7055,2.3520,6.4237,4.7768,4.4877,4.5497
2.5100,4.4884,4.4405,2.2789,3.6333,4.3136,3.4765,3.7748
52.2700,71.6926,76.1971,71.8911,77.6561,75.5484,75.1091,74.6626
72.2100,71.3165,64.2692,71.8126,73.2741,61.8288,74.8868,69.5600
63.3300,69.8297,50.2990,53.2130,51.2790,57.4953,57.1186,56.5999
51.4700,69.6334,57.6475,64.0590,51.3354,61.3561,65.7401,61.6674
8.1000,16.1771,10.6565,15.4621,5.9313,11.8208,14.2149,12.3990
18.4500,13.4977,33.8814,37.5199,14.2259,34.5862,26.8841,26.7245
72.9200,71.4337,75.3063,71.4824,76.1248,74.4637,74.8208,73.9211
13.2000,4.4884,0.3407,2.2789,6.7155,2.4741,3.4765,3.2962
3.5600,4.4884,-5.2264,2.2789,3.6332,-3.7244,3.4765,0.8304
43.5600,52.6893,56.8882,56.0590,52.6326,57.4418,54.9526,55.1027
47.4300,53.0184,63.9261,56.0457,47.4883,61.8921,55.3243,56.2781
53.2600,47.1635,54.5153,54.9328,43.3633,54.6991,51.3900,51.0024
68.2100,52.8685,63.0691,56.0374,56.5850,61.8403,54.8996,57.5341
63.7700,52.7639,56.8874,56.0607,54.9665,57.4757,54.9171,55.5012
67.9500,62.5757,58.8119,56.0624,57.2679,55.8749,54.9228,57.6149
56.1800,53.9518,41.9244,55.5897,56.7891,44.0540,47.8962,50.0548
12.9500,9.0627,7.2063,14.1924,21.0139,8.8238,16.3537,12.7433
5.7400,4.4884,0.3081,2.2789,3.6351,5.6048,3.4769,3.3013
44.7200,71.6694,59.3865,57.7329,52.8256,57.6133,59.2265,59.8042
71.4700,71.4545,62.4826,56.0839,57.2594,57.5105,58.3796,60.5846
39.9100,30.6798,58.1524,54.5246,39.7250,52.6043,53.8817,48.1819
10.7700,4.5264,4.3086,8.9067,11.1246,11.7472,19.9285,10.0387
43.4500,51.8576,51.8476,49.5171,47.8698,49.0781,42.4696,48.8038
47.9700,50.9398,50.0213,50.0560,50.8867,55.9223,45.5778,50.5778
35.8200,40.5380,38.7758,37.6362,44.3681,43.2469,45.3799,41.6369
7.6400,4.4884,0.3407,2.2789,7.3376,2.4741,3.4765,3.3990
8.0300,4.4884,0.3407,2.2789,4.8863,2.4741,3.4765,2.9938
57.0100,67.9080,69.5939,59.1739,66.2821,67.5224,65.4193,65.9880
76.7600,68.6485,70.8199,67.9706,66.4660,62.3314,63.5365,66.6486
62.0500,48.6449,52.5431,55.0765,57.3043,54.3456,54.8163,53.7596
15.2000,17.2161,29.2535,34.7198,11.3674,30.8248,32.0445,25.8710
12.9400,15.8599,27.6797,38.8765,18.1690,30.6236,30.6840,26.9397
3.9000,6.0414,17.6717,13.1229,14.6605,13.4595,13.0336,12.9655
3.6300,5.0325,5.3145,5.8534,6.8761,6.1725,3.7339,5.4977
11.2500,12.5680,11.3725,2.6405,9.4659,8.7917,3.8769,8.1442
3.1100,4.4873,4.4405,2.2789,3.6331,4.3136,3.4765,3.7745
55.5000,60.6822,61.1297,71.8606,73.4713,68.8418,73.0510,68.1232
44.3800,49.2895,43.7224,41.8071,44.9177,34.3330,47.2899,43.5780
73.3400,60.3304,60.0272,58.9813,65.2943,59.7501,65.2127,61.5798
15.6700,53.7687,16.9049,24.7625,11.2363,23.5695,16.6684,24.6494
4.2600,7.5516,16.5190,9.6827,11.1482,13.4916,11.4019,11.6137
70.5700,60.5029,65.6693,60.4544,63.9113,65.9578,64.1958,63.4302
13.9900,12.5153,12.9691,2.5405,7.6164,3.9797,3.9773,7.2962
4.1500,6.2769,-0.9796,9.0122,11.1297,0.4610,9.4786,5.8876
1.5900,4.4892,4.4405,2.2789,3.7276,4.3099,3.4765,3.7899
51.6600,71.7406,59.2791,71.8189,62.4294,61.2071,69.5826,66.0360
37.5500,37.4734,40.7668,43.2024,43.7010,43.2700,40.1855,41.4162
52.4900,42.0786,40.8175,45.9393,47.5711,32.8560,46.8176,42.6682
75.1900,60.3299,59.8782,58.9911,65.3823,59.7782,63.4927,61.2936
4.2300,7.6246,9.2094,9.8513,11.1948,9.1990,10.8703,9.6448
75.3300,58.7520,55.1945,50.5458,59.6546,58.8238,54.8763,56.3134
4.2200,10.0967,12.0064,11.3558,13.1714,13.3528,14.1858,12.3450
3.8900,7.2334,7.3594,9.2763,20.3907,6.3974,10.3393,10.1419
4.0700,10.3835,14.0564,13.4768,10.8539,15.4197,15.2289,13.2209
48.6600,57.0455,59.4847,57.4370,63.7140,57.0470,56.0445,58.4557
75.7700,70.1157,64.7141,67.2435,64.1126,63.2916,67.0430,66.1066
61.0200,62.3044,55.1978,61.4319,62.7844,55.7557,61.3365,59.8084
48.4600,32.9195,33.7706,32.0540,49.0891,34.4094,30.1380,35.3811
71.8900,62.2440,56.5842,58.7279,63.5227,58.7094,54.7584,59.1103
69.9300,49.9482,56.2971,56.9689,62.2500,58.1265,50.8563,55.7195
20.4500,33.0518,56.8501,44.1765,62.6532,59.2583,49.6110,50.8360
4.2300,4.9064,11.1641,8.8601,11.1463,10.0810,9.3613,9.2309
3.9900,4.5969,5.3768,4.8570,7.1446,8.7863,7.4231,6.3507
66.1200,71.3958,76.2425,71.8883,71.8413,75.5830,76.2824,73.8558
81.3600,71.6912,76.2876,71.8989,76.9624,75.6475,76.2852,74.7734
77.6200,70.9823,76.1613,71.8420,72.3730,75.4316,76.2354,73.8189
97.3200,71.7479,76.2932,71.8997,78.1656,75.6595,76.1405,74.9614
73.4200,70.7507,74.3313,69.8636,72.5946,73.0174,74.4406,72.4853
19.5500,13.6941,41.3350,37.5295,17.1349,38.0549,27.7826,29.2053
16.1300,48.2747,33.2212,39.9872,36.1043,27.1086,31.1583,36.0484
6.7700,4.4884,-5.2264,2.2789,3.6330,-3.7244,3.4765,0.8303
9.1300,4.4884,-5.2264,2.2789,3.6330,-3.7244,3.4765,0.8303
62.5600,59.7539,64.4337,58.9711,64.1663,62.6198,59.4573,61.5591
77.0200,71.5546,76.1196,71.8936,71.5046,75.6874,76.2836,73.8252
68.6900,57.8133,53.5436,58.9480,64.1118,54.9576,58.6928,58.0034
56.0900,49.5036,54.9926,57.5215,63.8796,56.3561,60.6142,57.0950
0.1700,4.7815,19.1103,8.7819,11.1269,15.8958,9.2334,11.4610
16.8000,13.7287,21.1661,20.3148,7.9385,12.0152,14.2620,14.9137
14.6700,4.4884,-5.2264,8.7819,10.3528,-3.7244,6.1250,3.4626
7.1500,4.4884,-5.2264,2.2789,3.6364,-3.7244,3.4765,0.8309
2.3800,4.4884,4.4231,2.2789,3.8634,4.3136,3.4765,3.8099
57.3100,60.2972,59.6744,58.9764,64.6138,60.0175,58.3647,60.3230
79.7200,59.2581,63.1133,55.7098,56.6980,62.6299,62.6151,59.9944
64.8900,57.9838,59.8054,50.9477,59.4049,58.8039,60.0707,57.8248
59.7700,17.9101,23.1284,24.3517,11.1274,17.9785,9.2334,17.3221
14.5200,14.6281,26.3579,24.7577,19.5652,31.9398,22.8984,23.3216
15.1000,11.1093,10.8791,8.7826,11.1276,9.8584,9.2354,10.1701
14.2400,4.5219,3.5981,8.8151,11.1683,5.3376,9.2766,7.0999
2.8100,4.4884,-5.2264,2.2789,3.6330,-3.7244,3.4765,0.8303
2.8100,4.4884,-5.2264,2.2789,3.8071,-3.7244,3.4765,0.8591
74.3100,71.6505,76.1244,71.8646,72.4985,75.4078,76.1891,73.9400
76.0700,71.7355,76.2834,71.9009,73.6999,75.6608,75.2750,74.0777
82.5300,71.5409,68.3920,71.8086,72.2074,74.1705,75.0988,72.1917
85.7200,71.4136,75.9282,71.8332,74.9157,75.0455,73.1289,73.6990
66.2900,68.7564,68.6590,64.5527,66.7045,66.5316,70.0227,67.5368
73.7000,70.9187,65.9973,71.8937,67.3651,71.0064,75.0347,70.3643
79.4400,71.4263,68.2536,70.6027,64.1586,70.3008,73.3857,69.6933
6.9200,4.4884,0.3407,2.2789,5.4658,-3.7243,3.4765,2.0605
6.4000,4.4884,0.3407,2.2789,3.6462,2.4290,3.4765,2.7812
55.1900,60.9812,60.7785,68.5568,63.9821,61.2278,65.1329,63.4316
75.6500,68.9833,65.6306,60.8492,67.7633,65.8307,64.1631,65.5497
66.4100,65.7168,64.9421,59.0491,64.1693,62.9779,61.9573,63.1462
62.2300,60.0296,57.0189,58.8507,61.6454,59.1066,54.7491,58.5788
0.5500,18.6870,13.0599,20.8058,22.9953,16.8583,27.1043,19.8936
55.3000,57.7505,38.1468,50.4838,43.8388,38.0198,51.2392,46.6273
54.7900,49.6568,45.6667,42.2012,38.6525,42.7785,43.2829,43.7393
9.6700,12.0198,11.7858,2.4956,16.3207,6.2142,12.3048,10.1832
8.7700,4.5272,14.4921,7.6023,4.1570,13.1146,5.4585,8.2179
56.3200,71.6961,67.9403,71.8879,77.5669,69.3009,75.1631,72.2445
76.9000,71.6193,76.1714,71.8768,77.5923,75.4734,75.1319,74.6242
55.8900,55.9678,58.8866,56.0729,56.8188,55.9312,56.0424,56.6183
68.5500,69.2293,74.0855,70.0963,69.0289,72.0341,75.6099,71.6623
85.1200,71.6164,76.0939,71.8732,77.6781,75.4397,75.0703,74.6086
67.7000,69.0078,75.4610,71.6056,66.7508,74.7397,74.8469,72.0530
16.2100,19.8558,21.1831,20.8124,13.0466,19.3169,21.1259,19.2298
35.8100,28.2562,26.1571,40.3726,27.8462,37.3953,37.5926,32.9126
3.2800,4.5793,0.6433,2.3096,6.9123,2.8436,3.5003,3.4650
60.1700,71.3009,76.1922,71.8911,71.2668,75.5797,75.4353,73.5972
67.2500,71.0909,68.3392,71.8651,64.0357,70.1074,72.3812,69.6439
