Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
490,0.3534,0.2607,0.1738,0.1907,0.2741,0.1907,0.0593
491,0.0039,0.6163,0.4801,0.2707,0.7297,0.2707,0.3990
492,1.9780,0.0226,2.3130,0.8178,0.4982,0.8178,0.9095
493,1.3186,0.3504,1.5548,0.9854,0.2612,0.9854,0.9090
494,0.3161,0.2941,0.9676,0.3744,0.5237,0.3744,0.4793
495,0.1794,0.1634,0.0327,0.1423,0.0291,0.1423,0.1025
496,0.3423,0.4063,0.3887,0.1110,0.5348,0.1110,0.1138
497,1.6968,0.9358,1.6494,1.0330,0.4188,1.0330,1.1338
498,0.8181,0.4175,1.1114,0.9150,0.6214,0.9150,0.7964
499,1.3134,0.4736,0.7143,0.9091,0.1683,0.9091,0.6860
500,1.6066,0.1430,0.8651,0.9124,0.0000,0.9124,0.6863
