Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred
68.2100,59.7510,63.0691,56.0374,60.0692,61.5697,54.8996,59.2369
63.7700,63.0975,56.8874,56.0607,60.6504,58.8735,54.9171,58.4237
67.9500,58.6784,58.8119,56.0624,57.9038,56.3929,54.9228,57.1357
56.1800,54.8548,41.9244,55.5897,49.3131,45.0957,47.8962,49.1334
12.9500,21.1329,7.2063,14.1924,7.0117,9.9197,16.3537,12.6525
5.7400,6.7628,0.3081,2.2789,7.0117,1.3019,3.4769,3.5256
44.7200,63.7563,59.3865,57.7329,62.6317,62.7697,59.2265,60.9175
71.4700,55.2921,62.4826,56.0839,65.2027,64.4016,58.3796,60.2881
39.9100,33.9576,58.1524,54.5246,35.8300,52.4309,53.8817,48.1116
10.7700,7.1016,4.3086,8.9067,7.0117,6.1507,19.9285,8.8792
43.4500,61.6889,51.8476,49.5171,38.6552,45.3126,42.4696,48.3014
47.9700,52.3133,50.0213,50.0560,42.7809,48.7181,45.5778,48.2653
35.8200,42.1952,38.7758,37.6362,26.9933,43.4958,45.3799,39.0780
7.6400,6.7628,0.3407,2.2789,7.0117,1.3028,3.4765,3.5311
8.0300,6.7628,0.3407,2.2789,7.0117,1.3028,3.4765,3.5311
57.0100,69.4741,69.5939,59.1739,72.5317,68.4142,65.4193,67.4279
76.7600,64.9991,70.8199,67.9706,69.7425,68.5941,63.5365,67.6123
62.0500,56.9000,52.5431,55.0765,48.4835,52.8342,54.8163,53.4531
15.2000,19.4106,29.2535,34.7198,9.8673,28.4325,32.0445,25.6219
12.9400,20.1425,27.6797,38.8765,21.0089,30.6274,30.6840,28.1659
3.9000,15.8424,17.6717,13.1229,23.9018,11.6367,13.0336,15.8686
3.6300,6.7628,5.3145,5.8534,7.3493,6.2551,3.7339,5.8817
11.2500,9.5135,11.3725,2.6405,7.8653,6.1875,3.8769,6.9177
3.1100,6.7628,4.4405,2.2789,7.0117,3.9947,3.4765,4.6627
55.5000,71.0999,61.1297,71.8606,61.4489,69.7526,73.0510,68.0582
44.3800,35.1151,43.7224,41.8071,28.8449,34.2588,47.2899,38.5043
73.3400,70.5264,60.0272,58.9813,71.2248,60.3534,65.2127,64.3870
15.6700,23.2131,16.9049,24.7625,27.7645,23.8295,16.6684,22.1956
4.2600,7.5082,16.5190,9.6827,21.2622,13.5914,11.4019,13.3098
70.5700,72.4525,65.6693,60.4544,67.9954,66.0616,64.1958,66.1454
13.9900,6.7628,12.9691,2.5405,21.2866,16.3807,3.9773,10.6332
4.1500,7.2144,-0.9796,9.0122,7.1244,1.6728,9.4786,5.5860
1.5900,6.7628,4.4405,2.2789,7.0117,3.9939,3.4765,4.6626
51.6600,70.5720,59.2791,71.8189,62.1577,69.7478,69.5826,67.1975
37.5500,40.0490,40.7668,43.2024,46.5845,42.0649,40.1855,42.1381
52.4900,20.8367,40.8175,45.9393,49.2882,42.1978,46.8176,40.9295
75.1900,70.1329,59.8782,58.9911,67.8226,60.4845,63.4927,63.4716
4.2300,11.6074,9.2094,9.8513,19.3503,9.0491,10.8703,11.6498
