Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
176,0.0020,0.0004,0.0041,0.1229,0.0778,0.0062,0.0352
177,0.0009,0.0012,0.0211,0.0009,0.0176,0.0043,0.0073
178,0.0101,0.0121,0.0607,0.1183,0.0738,0.0374,0.0520
179,0.0002,0.0015,0.1407,0.1261,0.0183,0.0105,0.0436
180,0.0029,0.0013,0.1097,0.0127,0.0080,0.0080,0.0212
181,0.0201,0.0090,0.1020,0.1177,0.0402,0.0017,0.0479
182,0.0330,0.0123,0.1602,0.9828,0.0941,0.0465,0.2210
183,0.0028,0.0027,0.0628,0.1075,0.0071,0.0001,0.0282
184,0.0009,0.0001,0.0073,0.2279,0.0030,0.0105,0.0381
185,0.0001,0.0000,0.0826,0.0078,0.0088,0.0133,0.0118
186,0.0030,0.0006,0.0549,0.1435,0.0600,0.0048,0.0425
187,0.0013,0.0017,0.0940,0.1729,0.0508,0.0064,0.0057
188,0.0104,0.0023,0.0840,0.1116,0.0060,0.0134,0.0011
189,0.0010,0.0002,0.0657,0.1475,0.1413,0.0059,0.0356
190,0.0016,0.0016,0.0533,0.0151,0.0051,0.0110,0.0060
191,0.0030,0.0023,0.0357,0.3158,0.0078,0.0246,0.0614
192,0.5660,0.0814,0.0973,1.3077,1.3445,0.4259,0.6018
193,0.0085,0.0007,0.0855,0.0320,0.0235,0.0103,0.0160
194,0.0038,0.0004,0.0352,0.0365,0.0018,0.0213,0.0146
195,0.0019,0.0010,0.0555,0.2714,0.0301,0.0244,0.0453
196,0.0018,0.0001,0.0263,0.0947,0.0629,0.0176,0.0124
197,0.0031,0.0002,0.0911,0.4386,0.0502,0.0150,0.0829
198,0.0010,0.0011,0.0133,0.1222,0.0356,0.0008,0.0283
199,0.0012,0.0044,0.0054,0.1224,0.0143,0.0109,0.0212
200,0.0022,0.0003,0.1328,0.1774,0.0298,0.0115,0.0589
201,0.0030,0.0001,0.0101,0.1819,0.0528,0.0226,0.0330
202,0.0016,0.0018,0.0432,0.0030,0.0429,0.0182,0.0169
203,0.0022,0.0047,0.0603,0.2261,0.0244,0.0008,0.0426
204,0.0021,0.0009,0.0178,0.1298,0.0902,0.0075,0.0352
205,0.0057,0.0013,0.0011,0.1997,0.0429,0.0135,0.0385
206,0.0004,0.0047,0.0375,0.1561,0.0697,0.0116,0.0448
207,0.0006,0.0022,0.0522,0.1816,0.0319,0.0273,0.0295
208,0.0130,0.0062,0.0683,0.0210,0.0200,0.0338,0.0094
209,0.0013,0.0014,0.0493,0.3035,0.1207,0.0173,0.0815
210,0.0046,0.0093,0.0201,0.0184,0.1064,0.0046,0.0127
211,0.0006,0.0049,0.0437,0.0305,0.0044,0.0078,0.0005
212,0.0002,0.0003,0.0585,0.1372,0.0444,0.0156,0.0425
213,0.0013,0.0008,0.0334,0.0051,0.0600,0.0270,0.0115
214,0.0014,0.0015,0.0723,0.0909,0.2025,0.0474,0.0289
215,0.0044,0.0063,0.0631,0.4049,0.0009,0.0262,0.0842
216,0.0141,0.0410,0.0720,0.0826,0.0026,0.0780,0.0197
217,0.0012,0.0019,0.0361,0.0153,0.0562,0.0039,0.0167
218,0.0073,0.0039,0.1004,0.0561,0.0546,0.0056,0.0348
219,0.0031,0.0014,0.1470,0.1005,0.0034,0.0395,0.0027
220,0.0152,0.0069,0.0209,0.0160,0.2193,0.0068,0.0396
221,0.0154,0.0022,0.0791,0.3435,0.1750,0.0120,0.1034
222,0.0086,0.0005,0.1024,0.3955,0.0432,0.0024,0.0919
223,0.0027,0.0040,0.0169,0.1241,0.0587,0.0052,0.0277
224,0.0036,0.0012,0.0379,0.0244,0.0442,0.0070,0.0112
225,0.0030,0.0025,0.0167,0.2376,0.0050,0.0350,0.0290
226,0.0068,0.0014,0.0455,0.0067,0.0238,0.0131,0.0069
227,0.0027,0.0029,0.0383,0.0821,0.0013,0.0176,0.0054
228,0.0004,0.0034,0.0343,0.0168,0.1116,0.0142,0.0184
229,0.0047,0.0006,0.1223,0.3230,0.0564,0.0101,0.0625
230,0.0013,0.0026,0.0204,0.0666,0.1008,0.0233,0.0067
231,0.0047,0.0038,0.0379,0.1947,0.1082,0.0048,0.0416
232,0.0007,0.0003,0.0154,0.2236,0.0444,0.0063,0.0336
233,0.0005,0.0106,0.1466,0.1219,0.0128,0.0056,0.0005
234,0.0016,0.0104,0.0438,0.2353,0.0291,0.0005,0.0250
235,0.0001,0.0003,0.0673,0.3713,0.1401,0.0400,0.0894
236,0.0031,0.0016,0.0570,0.3264,0.0084,0.0446,0.0729
237,0.0031,0.0005,0.0453,0.0632,0.0466,0.0334,0.0002
238,0.0008,0.0001,0.0735,0.1619,0.0351,0.0258,0.0495
239,0.0014,0.0053,0.0972,0.2119,0.1206,0.0247,0.0281
240,0.0031,0.0151,0.0965,0.1457,0.0619,0.0106,0.0554
241,0.0015,0.0010,0.0811,0.4054,0.0097,0.0011,0.0796
242,0.0053,0.0003,0.0001,0.2411,0.0570,0.0098,0.0486
243,0.0093,0.0016,0.0488,0.0779,0.0025,0.0114,0.0037
244,0.0000,0.0010,0.0184,0.1454,0.0060,0.0034,0.0208
245,0.0021,0.0029,0.0456,0.0058,0.0321,0.0129,0.0143
246,0.0003,0.0008,0.0277,0.1161,0.0583,0.0120,0.0032
247,0.0003,0.0011,0.0376,0.0593,0.0150,0.0130,0.0085
248,0.0007,0.0068,0.0528,0.0309,0.0212,0.0048,0.0002
249,0.0021,0.0038,0.0718,0.0605,0.0908,0.0077,0.0055
250,0.0018,0.0013,0.0006,0.0546,0.0058,0.0018,0.0083
251,0.0122,0.0014,0.0796,0.0355,0.0546,0.0112,0.0139
252,0.0083,0.0001,0.0148,0.0280,0.0089,0.0198,0.0083
253,0.0036,0.0071,0.0676,0.3812,0.0125,0.0037,0.0523
254,0.0025,0.0003,0.0440,0.2656,0.0481,0.0040,0.0444
255,0.0032,0.0057,0.0492,0.2134,0.0257,0.0079,0.0323
256,0.0037,0.0018,0.0330,0.1349,0.0265,0.0085,0.0108
257,0.0076,0.0110,0.0006,0.0438,0.0033,0.0186,0.0004
258,0.0031,0.0051,0.0066,0.0034,0.1079,0.0116,0.0217
259,0.0026,0.0002,0.0220,0.1119,0.0552,0.0261,0.0171
260,0.0010,0.0010,0.0033,0.1426,0.1243,0.0578,0.0347
261,0.0014,0.0015,0.0618,0.0253,0.0882,0.0132,0.0106
262,0.0034,0.0014,0.0399,0.2968,0.0267,0.0067,0.0401
263,0.0004,0.0009,0.0009,0.0734,0.0816,0.0051,0.0246
264,0.0016,0.0003,0.0050,0.1527,0.0257,0.0006,0.0303
265,0.0023,0.0045,0.1140,0.0750,0.0564,0.0372,0.0234
266,0.0070,0.0002,0.1277,0.1283,0.0077,0.0218,0.0366
267,0.0053,0.0007,0.0160,0.1552,0.0030,0.0011,0.0299
268,0.0016,0.0021,0.0038,0.0336,0.0305,0.0100,0.0024
269,0.0016,0.0010,0.1705,0.4736,0.0013,0.0217,0.1112
270,0.0049,0.0023,0.1799,0.1094,0.0519,0.0136,0.0604
271,0.0134,0.0005,0.0050,0.0335,0.0412,0.0025,0.0031
272,0.0006,0.0006,0.0334,0.4070,0.0841,0.0090,0.0888
273,0.0013,0.0074,0.0059,0.0121,0.0039,0.0321,0.0072
274,0.0090,0.0004,0.0473,0.0452,0.0189,0.0069,0.0120
275,0.0029,0.0021,0.0141,0.0569,0.0198,0.0064,0.0106
276,0.0001,0.0005,0.0086,0.2273,0.0899,0.0066,0.0499
277,0.0009,0.0018,0.0589,0.1164,0.1228,0.0152,0.0519
278,0.0077,0.0035,0.0207,0.0564,0.0341,0.0518,0.0079
279,0.0020,0.0059,0.0344,0.0150,0.0553,0.0408,0.0140
280,0.0044,0.0003,0.1202,0.1232,0.0937,0.0075,0.0542
281,0.0130,0.0031,0.0922,0.1686,0.0738,0.0401,0.0650
282,0.0036,0.0030,0.0061,0.0538,0.0619,0.0023,0.0030
283,0.0008,0.0047,0.2655,0.5273,0.2071,0.0110,0.1638
284,0.0000,0.0044,0.0051,0.0698,0.0578,0.0180,0.0240
285,0.0009,0.0069,0.0169,0.1065,0.0051,0.0133,0.0164
286,0.0051,0.0102,0.0633,0.0361,0.0784,0.0024,0.0113
287,0.0034,0.0102,0.1348,0.3191,0.0739,0.0013,0.0903
288,0.0034,0.0030,0.0034,0.1159,0.0073,0.0176,0.0205
289,0.0051,0.0019,0.0040,0.0706,0.0808,0.0059,0.0259
290,0.0036,0.0014,0.1793,0.0158,0.1035,0.0186,0.0485
291,0.0176,0.0176,0.0819,0.1308,0.0560,0.0256,0.0071
292,0.0038,0.0037,0.0010,0.0896,0.0361,0.0034,0.0228
293,0.0039,0.0027,0.0212,0.3194,0.0785,0.0206,0.0657
294,0.0016,0.0057,0.0715,0.2562,0.0715,0.0023,0.0444
295,0.0042,0.0040,0.0674,0.3371,0.1706,0.0319,0.0901
296,0.0201,0.0011,0.0578,0.0514,0.0325,0.0043,0.0003
297,0.0015,0.0019,0.0265,0.2945,0.0560,0.0247,0.0310
298,0.0049,0.0017,0.0163,0.2322,0.0321,0.0622,0.0527
299,0.0096,0.0058,0.0419,0.0548,0.0266,0.0155,0.0118
300,0.0003,0.0020,0.1544,0.1778,0.0007,0.0164,0.0587
301,0.0120,0.0070,0.0988,0.0857,0.0057,0.0473,0.0144
302,0.0934,0.0209,0.0020,0.5241,0.0285,0.0061,0.0721
303,0.0460,0.0005,0.1322,0.5535,0.1821,0.0646,0.1626
304,0.0036,0.0046,0.0714,0.3141,0.0063,0.0384,0.0730
305,0.0051,0.0033,0.2330,0.1178,0.0732,0.0188,0.0057
306,0.0470,0.0057,0.1453,1.0297,0.2035,0.0580,0.2475
307,0.0001,0.0024,0.0811,0.6605,0.0031,0.0356,0.1284
