Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
134,5.8043,8.7864,1.2811,3.4517,7.9426,0.0835,1.5113
135,11.9236,13.3282,12.4990,12.1264,15.3009,11.3926,12.7660
136,9.8019,16.4961,8.6157,20.0184,14.2890,7.8943,12.8651
137,9.4578,1.2553,1.6728,12.9506,0.8456,1.8700,3.3789
138,12.1051,5.1409,12.1726,8.1408,6.6403,13.3104,9.5712
139,7.7890,6.8826,7.7093,3.1196,4.8965,8.8529,6.5382
140,11.2602,9.1381,11.8876,10.0462,11.5571,13.0272,11.1489
141,9.0199,14.2556,0.5903,6.8669,11.0843,8.2838,8.3398
142,3.0305,5.7437,1.2424,5.9383,3.0303,3.4037,2.1830
143,3.6243,5.4319,3.4611,1.2717,4.4381,2.2631,1.8116
144,20.7179,14.6665,13.0129,17.9117,18.0497,14.5065,16.4530
145,11.7597,8.9874,15.3861,6.2673,7.0684,13.0904,10.4280
146,2.3391,18.2424,14.6146,4.0800,12.5209,13.9717,8.8851
147,1.4057,6.4614,1.8633,3.7583,4.6193,9.1585,1.5099
148,8.0516,8.3976,6.0671,4.7948,1.8626,0.9804,3.1008
149,4.0365,2.0513,2.0860,5.1891,0.7481,2.3922,0.2183
150,4.6240,2.9558,1.8162,8.8267,7.6758,9.5599,2.9516
151,1.7243,7.2993,5.3611,0.6283,6.3372,4.1635,3.7060
152,1.3343,7.6893,5.7511,1.0183,6.7272,4.5535,4.0960
153,14.5413,12.5839,2.1639,15.5217,11.4042,8.4093,10.7431
154,10.2838,5.9401,8.7894,7.0175,8.1659,13.2235,8.8894
155,11.1087,9.5069,6.9735,13.5665,9.2158,7.2337,9.5917
156,10.9380,14.0535,19.5198,5.3327,13.2325,16.8445,11.5605
157,21.1240,14.7397,25.9365,8.0689,17.6874,17.7440,17.5500
158,27.9227,13.7717,9.2229,20.0018,7.7367,9.1336,14.5754
159,5.7343,1.6845,2.2234,3.7193,2.6251,0.1039,2.6702
160,4.4327,0.1225,8.6095,3.3847,5.0625,7.3731,3.3433
161,4.7439,1.3305,0.8311,3.9017,0.8847,0.3665,1.7168
162,8.1432,5.6297,16.3606,5.9489,14.2526,17.5510,11.3217
163,13.3983,0.6576,2.5729,15.5351,10.1212,2.9099,6.5274
164,10.0855,13.3128,14.3587,2.1152,12.9866,8.1273,10.1799
165,4.2722,1.2349,9.0925,12.0945,8.1595,0.9984,5.9853
166,5.1058,12.2590,5.4227,17.0022,9.3314,7.1419,9.3914
167,6.7078,4.9007,10.1156,2.5746,4.5084,6.3742,5.8677
168,4.2034,1.0209,11.4495,7.2966,2.3907,10.0127,1.4666
169,5.2143,5.1296,4.8622,2.9744,2.4772,5.3286,1.7759
170,7.7743,2.8505,0.6889,5.4217,2.4039,1.8865,3.4830
171,12.1351,7.6191,20.1589,10.4977,18.0878,17.9226,14.4097
172,3.5340,3.2168,5.6524,9.0345,4.5149,2.6355,3.6179
173,14.0231,11.6725,6.5507,3.2018,10.2922,5.6724,8.5513
174,13.8716,15.3118,16.1989,7.3674,14.7055,11.6973,13.2004
175,16.8388,4.9794,5.6213,15.1203,4.8191,6.6403,8.9633
176,16.8525,20.1355,24.7842,8.5219,16.1781,20.4537,17.8409
177,23.7269,7.7864,7.1358,19.3302,10.8059,9.9658,13.0677
178,18.3344,3.4694,5.3863,11.5290,2.4351,6.4493,7.8850
179,6.2916,9.9864,9.4068,3.3490,10.0606,11.1589,8.3851
180,5.5468,10.8247,8.7770,10.1434,10.5965,7.3845,8.8952
181,11.3209,11.0559,8.5265,3.9861,10.4057,8.7270,8.9972
182,8.3833,5.8222,0.4119,0.1741,4.4653,0.3165,2.9992
183,8.4532,14.6894,16.4060,0.7057,15.4431,18.3220,12.1217
184,14.6838,15.3058,13.1621,10.8498,13.8275,17.1316,14.1550
185,16.9795,13.6329,12.9611,18.1288,12.4132,19.0737,15.5149
186,36.3935,36.4001,23.7265,33.9112,38.1803,29.1610,32.9374
187,8.3927,6.9341,4.6301,9.8856,4.8251,5.1313,6.6245
188,11.7674,1.3868,0.8670,2.4644,4.2867,3.4331,3.9948
189,12.8274,10.1225,5.7683,16.3093,9.7381,10.1624,10.8028
190,0.4836,5.0724,9.4611,7.4140,5.3053,5.0748,3.0213
191,11.4462,1.4587,5.7780,3.5820,1.9949,1.3846,4.2492
192,20.8390,21.0268,25.4203,10.1574,21.2366,21.1795,19.9853
193,14.1707,0.9113,3.5564,12.5897,1.6725,1.0206,4.9693
194,5.1454,21.7850,17.9795,2.0470,17.1826,8.2326,10.4398
195,19.0374,17.0912,23.8572,22.5743,21.4634,15.0283,19.8535
196,2.5943,11.9964,4.4911,0.2417,11.1526,3.2935,4.7213
197,0.2343,14.3564,6.8511,2.0000,13.5126,5.6535,7.0615
198,11.8112,1.8737,3.5889,6.2733,1.3629,3.1027,2.3948
199,0.3244,0.9004,5.1264,2.8291,9.2512,0.7364,2.1571
200,3.7766,15.1464,9.7420,8.6988,8.9831,9.9972,9.4210
201,5.8664,1.0974,1.4315,15.2533,0.7125,4.5242,2.5757
202,9.1943,18.9403,8.6119,7.3114,13.4713,9.0634,11.1143
203,3.9054,4.3661,3.5148,7.5504,1.5394,2.5380,1.2746
204,5.3057,19.8964,5.8881,7.6583,19.0526,8.5450,11.0828
205,2.2143,12.3764,4.8711,0.1383,11.5326,3.6735,5.1013
206,2.2657,2.0431,0.1011,4.3489,6.7626,1.0965,0.4771
207,3.6129,2.3644,1.6664,10.2764,8.3984,1.0547,4.5587
208,36.4755,16.6067,24.0102,38.1387,17.7757,17.1049,24.9693
209,21.6034,5.0846,13.9423,25.2535,7.0489,4.8193,12.9250
210,50.4057,36.6416,35.4183,34.2543,30.0384,50.5366,39.4865
211,5.2349,11.8379,10.2377,13.9951,16.7752,8.3784,11.0992
212,5.7357,4.2209,6.3174,1.5551,4.2377,5.8646,4.6530
213,4.8757,10.6419,5.4249,5.5816,8.9075,4.9634,6.7440
214,1.2158,8.0364,0.5311,4.3894,7.1926,0.6665,1.9974
215,3.1628,8.0364,0.5311,4.2017,7.1926,0.6665,1.3145
216,14.4969,1.8144,2.4454,6.4385,1.0286,1.8791,3.8146
217,12.0748,0.2134,4.1691,3.6302,0.0072,0.7950,0.5621
218,2.4649,14.1380,10.7214,8.4317,8.2329,7.4312,7.8032
219,21.2691,9.7918,13.8868,11.0463,10.5979,12.5911,13.1641
220,12.1430,2.3690,1.7373,11.7270,2.5032,3.7327,3.6301
221,6.9130,7.7027,1.8063,0.9914,9.9730,1.3347,2.0811
222,6.1330,11.1864,8.8373,7.0637,8.5291,6.0543,7.9828
223,2.4443,6.5793,4.6411,0.0917,5.6172,3.4435,2.9860
224,2.9643,6.0593,4.1211,0.6117,5.0972,2.9235,2.4660
225,9.8082,5.5885,13.3668,17.5763,6.1519,9.9429,10.4081
226,2.0459,10.0194,14.8008,4.9789,9.7824,11.4869,8.8898
227,2.0732,1.4679,7.3609,7.5844,1.9731,4.4527,3.4863
228,4.5517,5.2111,3.3793,1.3575,3.0157,7.4809,4.1616
229,30.3203,12.5099,20.2558,13.5803,14.8690,26.5543,19.6262
230,10.5712,17.1532,4.8162,4.2238,18.2054,4.0608,9.8402
231,8.8627,9.1233,12.5888,9.6498,12.6890,11.5071,10.7441
232,0.3057,2.1158,7.1744,1.8649,3.6398,2.6348,1.3867
233,0.5943,5.7221,1.1677,1.7583,10.0718,3.3115,1.6992
234,20.7304,11.6203,15.5679,25.7356,13.6696,18.8431,17.6688
235,2.8871,0.7286,5.0232,1.1892,1.2695,1.7681,1.7491
236,1.7585,2.9966,0.1829,0.2819,0.7705,0.1524,1.0232
237,1.2654,5.5355,1.5463,2.9619,2.8716,7.0599,3.1315
238,13.4627,9.0261,13.2468,11.4725,9.5506,10.0497,11.1286
239,7.2565,7.7610,3.9056,8.5445,0.3126,7.1469,0.5957
240,10.0070,4.9731,4.6024,17.8190,12.8786,4.9159,9.1832
241,2.4910,9.6529,4.5626,6.3316,8.2348,1.7826,0.4685
242,6.0843,2.6367,0.9704,0.9969,1.1321,0.2203,0.3986
243,16.2675,16.0222,11.7211,4.3461,11.7789,15.2653,12.5542
244,2.4137,1.0892,4.6151,0.6435,7.9692,5.1312,2.8567
245,1.8840,19.4692,15.0926,6.6195,11.9751,19.0677,9.5775
246,15.2157,8.6515,13.6195,12.5352,5.5381,15.9596,11.9035
247,9.1206,1.2118,2.3979,7.1914,0.6226,3.6662,3.8016
248,5.3257,6.3659,10.1103,4.9235,10.1564,1.9699,3.1102
249,4.4060,1.2753,6.1871,0.7352,1.5532,0.9501,0.4060
250,6.7546,3.4240,10.0133,5.1578,9.5077,7.4046,7.0446
251,2.8543,6.1693,4.2311,0.5017,5.2072,3.0335,2.5760
252,18.1802,8.1139,1.1178,3.8447,9.1786,7.6499,7.9616
253,2.6562,8.2613,8.2135,7.6569,7.2915,8.6629,6.2765
254,8.5410,0.1104,4.4999,4.3069,0.3378,0.1160,1.2572
255,7.4261,5.0280,2.7104,0.6272,1.2742,3.5077,0.7011
256,13.0814,3.9328,8.8476,6.9583,9.2089,0.8979,0.5466
257,1.7882,0.2468,5.6719,1.5420,2.5014,8.8754,0.6877
258,5.4557,11.6929,6.2236,8.1260,10.6842,8.6946,8.4904
259,5.8543,1.1255,0.4172,3.0866,2.0487,0.3388,1.6076
260,5.7343,3.2933,1.3511,3.3817,2.3553,0.1535,0.2986
261,12.3879,6.6464,15.9936,1.2037,4.5276,10.5486,8.5488
262,9.7862,16.9940,4.3334,11.9756,6.7784,2.8331,8.7890
263,0.6060,2.2844,3.1823,0.3736,1.5108,2.1476,0.2941
264,6.0561,17.4169,21.1047,3.0132,18.3420,13.4363,13.2772
265,50.7106,40.4306,42.9761,42.2004,41.8103,38.9708,42.8207
266,18.6582,21.8795,24.9062,16.2332,23.1855,19.7681,20.7907
267,7.2618,8.8609,11.1899,8.9674,15.6757,2.8307,9.1467
268,5.9443,6.1576,1.1411,3.5917,4.8512,0.0568,0.4601
269,6.1143,8.4764,0.9711,9.6317,7.6326,0.2265,0.2218
270,13.1146,12.6580,16.2086,20.0834,13.6875,12.7536,14.7590
271,7.3608,0.1432,4.5284,0.4606,0.7117,1.4706,2.2759
272,1.0734,1.1385,2.5394,7.7160,1.1854,0.8538,0.5025
273,7.7788,11.2754,5.7321,3.7207,10.9650,6.0366,6.3449
274,10.5885,9.4969,8.8042,1.2188,7.2275,9.1431,7.7396
275,10.1638,3.3179,10.9496,4.0793,6.2833,11.4596,7.6965
276,33.4211,30.7531,24.8855,29.4353,27.9274,24.0342,28.3910
277,6.0243,2.9992,1.0611,3.6717,2.0358,0.1365,0.5942
278,6.5343,8.0564,0.5511,4.1817,7.2125,0.6465,0.7812
279,0.3219,5.8504,7.7801,5.0337,5.2103,8.1088,3.6216
280,7.3060,16.8526,18.3386,0.9268,16.7022,18.5361,13.1433
281,5.1892,0.2281,0.9871,11.2720,0.2116,1.3484,2.3400
282,1.0146,9.2333,11.5454,5.5769,8.1015,11.7538,7.5719
283,0.7068,8.1925,10.5983,5.2271,6.8548,10.8229,5.1217
284,5.2344,0.9500,0.4423,12.7626,1.9278,0.8073,2.5614
285,6.2105,0.4944,8.0068,13.1717,3.5673,1.3177,0.9613
286,5.0640,9.4243,11.3174,5.2687,13.1402,10.0479,7.4103
287,0.3052,2.2983,3.4331,5.1528,6.2231,1.6419,3.1865
288,19.0754,5.2405,0.8416,6.2451,5.0662,5.2268,6.8901
289,13.7155,2.1812,2.2021,5.6791,1.9276,2.1856,3.8640
290,13.1377,1.3068,3.0184,2.2624,0.8157,1.3802,1.8404
291,11.8286,1.1171,1.8543,3.4238,1.4825,1.3124,0.7681
292,18.8434,2.6164,7.3200,5.6014,2.7425,2.5876,6.5726
293,4.1562,16.9553,10.8025,1.6150,13.3407,20.3133,11.2226
294,3.5772,8.8315,10.1640,14.0831,6.3516,4.0683,6.5223
295,0.8590,8.4134,4.7111,0.3575,9.8730,5.2983,2.7799
296,1.9892,6.9997,6.0911,2.3035,11.2608,8.2354,2.7787
297,11.2384,0.6618,5.6421,7.2428,1.3305,1.6602,4.6040
298,4.9702,7.1740,8.2519,5.3769,6.3400,7.5337,4.9961
299,13.0878,4.9090,0.3829,4.2431,4.3523,9.6938,4.6521
300,8.0892,2.1075,0.0445,1.1636,2.3300,1.9733,0.4505
301,11.6077,4.5752,1.8857,6.6712,3.8407,4.9045,1.7629
302,0.0503,10.8528,10.1045,0.0421,6.8550,3.9357,5.3299
303,4.6957,3.8600,5.7911,0.0716,7.5832,10.5835,0.9175
304,2.7757,9.6630,5.9611,5.3487,14.1420,4.3039,6.1458
305,3.3170,1.7895,6.3011,4.6110,2.1199,5.8907,0.7433
306,15.0881,17.2698,4.4124,3.5780,12.8896,8.1086,10.2062
307,5.9772,10.1809,2.4413,5.8971,5.2445,1.4729,2.4115
308,6.0799,11.2255,4.7215,0.2903,3.2698,8.6103,5.6055
309,1.5843,3.3825,1.8171,6.7010,3.1180,2.2132,0.6523
310,1.3786,1.6048,4.2487,7.5036,1.6604,1.5835,2.5550
311,9.3312,5.0707,2.6435,3.9051,6.1500,4.8463,4.0004
312,1.7311,3.3483,1.4275,0.8143,3.8978,0.2950,0.7769
313,3.8612,0.9111,4.1781,6.1760,11.6484,9.4835,6.0349
314,6.1543,2.8581,0.9309,3.8017,1.8184,0.2666,0.7407
315,15.7349,5.6767,8.5064,7.3033,5.2373,3.8940,7.6980
316,3.3003,0.8071,2.6347,6.4537,4.9047,4.8227,2.7374
317,8.7084,8.4376,7.5864,0.8867,5.4933,10.9433,6.7070
318,2.5591,2.2738,1.8976,8.7088,1.2735,1.4224,1.3601
319,7.0240,0.8805,2.7804,10.4795,1.0465,6.6274,4.4900
320,9.9555,12.2910,10.6177,5.0656,11.7814,9.2803,9.8371
321,3.6857,2.4204,4.2655,5.1077,5.7388,6.4653,4.6112
322,2.3557,1.9113,6.3367,2.6100,7.6798,8.0892,0.1329
323,2.5945,6.6281,2.5343,3.1979,5.4291,7.5397,4.6573
324,13.4622,6.7615,2.5505,12.8847,6.4786,8.1946,8.3552
325,6.0590,13.8174,12.0072,4.8353,14.3602,10.6196,10.3070
326,1.1557,4.6103,4.9949,1.3091,0.4607,0.1775,0.4455
327,0.5019,0.9284,0.5080,1.9831,0.4978,5.9976,1.4034
328,54.5079,48.0504,44.0560,60.5255,47.0805,48.8554,50.4822
329,13.3065,11.4121,10.5663,14.1795,17.0653,13.7049,13.3626
330,5.3397,0.5306,5.3500,3.2033,4.9533,3.9148,2.6264
331,5.7343,3.2834,1.3187,3.6625,2.6265,2.8960,2.7949
332,4.7245,5.2849,1.3011,2.2508,1.2149,0.1029,2.0019
333,15.2670,0.6503,0.8001,10.7393,3.2601,3.0801,4.2890
334,10.9629,1.5640,3.0026,0.3368,0.9960,3.0683,1.1449
335,30.6253,21.0559,24.5096,14.6723,21.6319,20.6218,22.1593
336,31.2878,19.8724,22.9491,13.8082,21.0094,17.3143,21.0076
337,6.4665,3.4106,7.0821,3.2517,9.1912,8.4264,6.2987
338,25.0630,8.3359,4.5519,1.9120,8.1350,3.5340,8.5227
339,12.7432,0.1259,3.7551,2.4944,0.8279,1.7673,3.5395
340,6.2743,1.3505,0.8111,3.9217,0.9048,0.3865,1.9831
341,4.9198,1.6905,0.4711,4.2617,1.2447,0.7265,2.0467
342,7.7820,4.0747,0.6380,4.7993,3.6848,3.6793,1.5502
343,8.8707,7.0765,0.8496,2.5297,6.7522,3.2012,4.0168
344,28.0895,24.8490,25.2708,4.7303,23.0119,23.1400,21.5020
345,23.5150,17.4591,18.4765,11.2779,13.6942,18.6037,17.1499
346,26.2681,14.5311,10.7871,6.8817,11.6551,12.4674,13.7147
347,16.4337,27.0794,17.0134,21.2441,18.4768,15.4616,19.3066
348,16.6723,17.1294,16.6629,8.2223,20.2836,14.1267,15.5172
349,6.2943,1.3705,0.7911,3.9417,0.9247,0.4065,2.0031
350,5.1141,1.7805,0.3811,4.3517,1.3347,0.8165,2.1538
351,14.1475,16.8824,22.8437,18.3637,18.2699,19.1216,18.2937
352,15.7170,10.0088,5.5013,18.4876,9.2252,9.9526,11.4530
353,12.1802,11.4238,13.5422,5.1889,17.1021,9.9617,11.5686
354,11.3855,10.0311,6.5865,10.8313,17.6650,12.1439,11.4263
355,15.6531,7.4115,11.0709,5.2427,8.1631,9.3692,9.4625
356,39.8673,33.6771,40.9052,36.2127,36.1860,38.8866,37.6140
357,8.9250,4.0400,11.7386,10.4314,5.6535,12.6612,8.9037
358,5.8395,6.8394,13.4663,3.5499,7.0770,11.3696,6.1336
359,2.1113,4.4205,2.2589,6.9917,3.9750,3.4565,3.8734
360,5.5638,13.1706,8.5397,0.4944,8.8122,11.5135,8.0306
361,17.4622,9.3622,5.2422,13.7218,10.4996,8.5325,10.7665
362,21.6787,11.2059,10.8551,15.0011,19.8477,17.8142,16.0249
363,2.1486,5.9802,0.7369,7.9502,5.2697,3.2118,1.3177
364,0.9593,8.9253,1.8005,9.5801,3.5399,2.5128,1.0594
365,8.7744,5.6189,5.3368,1.3564,8.1331,9.1834,5.9324
366,11.4976,6.3060,5.1791,8.7586,6.4619,5.1050,7.1984
367,6.5643,1.6405,0.5211,4.2117,1.1947,0.6765,2.2731
368,1.5196,2.3505,0.1889,4.9217,1.9047,1.3865,2.0445
369,9.9610,16.0920,16.3585,20.3607,17.7089,16.0902,16.1185
370,16.0247,3.4276,4.5115,7.1282,1.8677,3.7868,6.0827
371,13.1876,8.6757,4.9230,1.3303,7.7179,5.6024,6.8822
372,18.5329,2.9345,3.2250,11.0460,4.5369,8.8809,8.1352
