Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
101,0.2342,0.4286,0.4463,0.4286,0.0845,0.4286,0.1644
102,0.2392,0.3534,0.3126,0.3534,0.1697,0.3534,0.1357
103,0.2362,0.5379,0.4296,0.5379,0.0589,0.5379,0.2263
104,0.4790,0.5196,0.1212,0.5196,0.1593,0.5196,0.2924
105,0.5033,0.8318,0.0257,0.8318,0.1567,0.8318,0.4687
106,0.5538,0.7345,0.0081,0.7345,0.0975,0.7345,0.4414
107,0.6037,0.3392,0.3593,0.3392,0.6699,0.3392,0.0980
108,0.5433,1.0853,0.8946,1.0853,0.6422,1.0853,0.8891
109,0.0254,0.0460,0.8584,0.0460,0.2509,0.0460,0.1285
110,1.7268,1.4472,0.8978,1.4472,0.4249,1.4472,1.2312
111,0.0073,0.4258,0.0881,0.4258,0.1176,0.4258,0.2163
112,0.7609,0.1787,0.7310,0.1787,0.4412,0.1787,0.2334
113,0.2391,0.2533,0.1253,0.2533,0.7779,0.2533,0.0644
114,0.0496,0.3740,0.0683,0.3740,0.0038,0.3740,0.1664
115,1.2609,1.2436,1.5550,1.2436,0.8429,1.2436,1.2315
116,0.0578,0.0079,0.0827,0.0079,0.0931,0.0079,0.0430
117,0.5602,0.0594,0.1278,0.0594,0.3303,0.0594,0.1569
118,0.2376,0.0494,0.6212,0.0494,0.0563,0.0494,0.1774
119,0.1700,0.1189,0.2320,0.1189,0.3848,0.1189,0.0721
120,0.2240,0.1350,0.4712,0.1350,0.0103,0.1350,0.1817
121,2.1046,1.9567,2.2065,1.9567,1.6544,1.9567,1.9725
122,0.1954,0.0468,0.2257,0.0468,0.0074,0.0468,0.0948
123,0.8107,0.6372,0.7553,0.6372,0.8462,0.6372,0.7208
124,0.0715,0.2418,0.0762,0.2418,0.4806,0.2418,0.2003
125,0.0953,0.0251,0.0201,0.0251,0.5088,0.0251,0.0533
126,0.2815,0.0111,0.3093,0.0111,0.1715,0.0111,0.1217
127,1.4829,1.3546,1.5049,1.3546,1.5253,1.3546,1.4296
128,0.1150,0.0056,0.1954,0.0056,0.0516,0.0056,0.0404
129,0.3350,0.1874,0.2481,0.1874,0.1189,0.1874,0.1709
130,0.3400,0.0947,0.3140,0.0947,0.4000,0.0947,0.2233
131,0.0996,0.1593,0.0688,0.1593,0.0520,0.1593,0.0831
132,0.6126,0.3418,0.4591,0.3418,0.5356,0.3418,0.4389
133,0.9404,0.8515,0.8966,0.8515,0.7563,0.8515,0.8579
134,0.9205,0.8069,0.7805,0.8069,0.8507,0.8069,0.8287
135,1.3022,1.5516,1.3045,1.5516,1.6544,1.5516,1.4860
136,1.0781,0.7555,1.0372,0.7555,0.8514,0.7555,0.8723
137,0.5209,0.6560,0.5608,0.6560,0.6763,0.6560,0.6210
138,0.7941,0.6509,0.6683,0.6509,0.7868,0.6509,0.7004
139,1.0008,0.9078,0.8738,0.9078,1.0714,0.9078,0.9450
140,1.5553,1.3689,1.6259,1.3689,1.3060,1.3689,1.4324
141,0.3045,0.1801,0.3994,0.1801,0.0812,0.1801,0.2209
142,1.0958,1.2588,1.0684,1.2588,1.4135,1.2588,1.2257
143,0.4912,0.5232,0.5333,0.5232,0.4300,0.5232,0.5040
144,1.4537,1.7207,1.7061,1.7207,1.9743,1.7207,1.7161
145,0.4141,0.0211,0.4521,0.0211,0.2539,0.0211,0.1764
146,0.2801,0.6134,0.1602,0.6134,0.3166,0.6134,0.4326
147,0.9716,0.6757,0.9133,0.6757,0.4884,0.6757,0.7334
148,0.0258,0.1348,0.0392,0.1348,0.1147,0.1348,0.0459
