Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred
83.0807,83.2811,83.8101,82.7188,83.9843,84.0591,83.9675,83.6372
83.2082,83.3877,83.6332,83.6694,84.2426,84.2683,84.0433,83.8745
80.5588,79.4460,79.4895,79.2468,80.0125,79.2134,79.7520,79.5261
71.3185,68.2828,71.0177,70.8536,72.2813,71.9685,71.4673,70.9799
74.9103,75.5836,74.6953,74.4895,75.2042,73.6936,75.1291,74.7974
88.2600,86.9578,87.6746,87.2197,87.4898,86.9814,87.5522,87.3121
81.9884,81.9696,82.0406,82.0631,82.5361,82.2917,82.6021,82.2504
80.8449,81.0141,80.2916,81.4300,80.4041,80.6937,80.4197,80.7089
82.4536,81.4598,81.9378,81.5793,81.7187,82.3308,81.7656,81.7995
82.3935,83.2279,82.7898,82.9685,84.8699,83.0728,84.4388,83.5599
84.5218,84.4934,84.3505,84.0814,84.8782,84.5708,84.8547,84.5380
81.9484,83.0760,82.9812,83.3485,82.7152,82.6046,82.7679,82.9153
92.4892,92.2063,92.8523,92.5088,92.8203,92.6439,92.3917,92.5708
81.9884,81.9366,81.7949,81.8798,82.0514,81.8855,82.2076,81.9590
81.9884,82.4188,83.1339,82.6496,82.8850,82.0564,82.4157,82.5927
80.4038,80.5768,81.5642,81.1812,81.3491,81.5055,81.4104,81.2650
83.0066,83.6095,83.4047,83.4831,83.1113,83.1251,82.9166,83.2750
87.8071,87.5156,87.4074,88.3155,87.2223,87.3988,87.2835,87.5239
70.1502,67.0532,70.7934,69.3073,69.7588,68.8425,70.1258,69.3131
94.1677,96.1830,96.2491,95.9334,95.8318,95.7791,96.1333,96.0179
80.9784,81.1723,81.1252,81.7177,81.2816,80.9417,81.1943,81.2384
79.7106,79.9318,79.9346,80.3873,79.5877,79.1337,79.6832,79.7756
93.2509,91.0613,91.9302,90.8212,91.6212,91.9676,91.2148,91.4370
94.1534,96.8452,96.6383,97.3772,97.3849,96.9365,97.5065,97.1143
