Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred,IsDifficult
81.2733,81.5242,81.6590,81.6263,81.6590,81.9076,81.6590,81.6726,False
77.0974,77.4856,77.5593,77.5832,77.5593,77.6873,77.5593,77.5724,False
78.6195,79.8044,79.9287,79.8849,79.9287,79.8806,79.9287,79.8926,False
81.6160,81.7533,81.6994,81.9605,81.6994,82.2469,81.6994,81.8435,False
81.3438,81.6523,81.4702,81.7421,81.4702,81.9302,81.4702,81.6228,False
81.6041,80.9674,80.9379,81.0276,80.9379,80.9657,80.9379,80.9625,False
81.6637,80.5252,80.2653,80.5409,80.2653,80.3434,80.2653,80.3677,False
74.0386,73.8424,74.3724,73.6625,74.3724,73.6062,74.3724,74.0375,False
73.7118,73.4228,73.8428,73.5987,73.8428,73.6571,73.8428,73.7010,False
76.9535,77.2247,77.2027,77.0456,77.2027,77.0107,77.2027,77.1480,False
72.0165,71.6662,72.2367,71.9659,72.2367,71.7686,72.2367,72.0182,False
75.2125,74.6814,75.7281,74.9484,75.7281,74.9303,75.7281,75.2901,False
64.6226,67.3515,64.8334,65.9075,64.8334,65.2287,64.8334,65.4986,False
73.6391,73.3739,73.8182,73.6319,73.8182,73.6143,73.8182,73.6789,False
71.9506,71.4340,71.6493,72.1136,71.6493,72.1569,71.6493,71.7758,False
74.3461,73.9524,74.1686,74.1322,74.1686,74.1436,74.1686,74.1223,False
75.5132,75.3582,75.6341,75.4225,75.6341,75.4700,75.6341,75.5254,False
76.6498,76.7081,77.1133,76.6097,77.1133,76.5698,77.1133,76.8708,False
77.2393,77.1240,77.1656,77.0418,77.1656,77.0340,77.1656,77.1160,False
73.2248,72.7469,73.2522,73.1638,73.2522,72.8908,73.2522,73.0928,False
71.8705,71.3604,72.0290,72.1321,72.0290,71.7134,72.0290,71.8820,False
69.1051,69.2017,68.5884,69.1992,68.5884,69.1998,68.5884,68.8948,False
71.2153,70.7890,71.3348,70.9835,71.3348,71.1198,71.3348,71.1492,False
72.9747,72.5132,73.0018,72.9829,73.0018,72.9883,73.0018,72.9149,False
73.4204,72.9464,73.1665,73.5081,73.1665,73.3692,73.1665,73.2207,False
78.5558,79.5309,79.1339,79.2972,79.1339,79.2254,79.1339,79.2426,False
73.3117,72.6816,73.3013,73.4107,73.3013,73.1963,73.3013,73.1987,False
