Alkalinity,Ammonia,BOD,Chloride,Conductivity,DO,Phosphate,pH,Temp,Hardness,Colour,CCME_Values
14.000000,0.033000,1.500000,9.010000,62.000000,53.500000,0.009000,6.900000,12.200000,13.800000,29.000000,78.888013
6.000000,0.051000,2.300000,8.620000,62.000000,50.600000,0.019000,7.510000,12.500000,14.300000,63.000000,76.763181
9.000000,0.020000,1.300000,7.800000,55.000000,51.750000,0.019000,7.240000,12.600000,12.100000,23.000000,79.764162
9.000000,0.039000,2.500000,8.220000,59.000000,51.250000,0.019000,7.130000,12.200000,13.300000,24.000000,79.785621
16.000000,0.028000,2.100000,10.200000,70.000000,56.650000,0.019000,7.350000,15.300000,18.700000,31.000000,78.080895
16.000000,0.027000,2.100000,10.300000,69.000000,56.100000,0.019000,7.410000,15.500000,18.500000,22.000000,78.929582
13.000000,0.033000,2.000000,8.800000,68.000000,54.950000,0.019000,7.370000,15.800000,17.600000,24.000000,79.002489
12.000000,0.033000,1.900000,8.650000,66.000000,56.050000,0.019000,7.300000,15.700000,16.800000,25.000000,78.691480
11.000000,0.033000,2.400000,8.720000,64.000000,54.950000,0.019000,7.320000,15.900000,16.100000,25.000000,78.919183
16.000000,0.033000,1.200000,8.630000,70.000000,55.800000,0.019000,7.430000,18.200000,19.500000,26.000000,78.660588
16.000000,0.033000,1.300000,7.720000,69.000000,56.100000,0.019000,7.520000,17.500000,19.000000,26.000000,78.598917
16.000000,0.033000,1.200000,8.300000,68.000000,55.850000,0.019000,7.480000,17.800000,19.700000,27.000000,78.568139
12.000000,0.033000,1.600000,9.110000,71.000000,52.050000,0.005000,7.340000,13.900000,16.100000,31.000000,79.023357
12.000000,0.021000,1.300000,9.810000,96.000000,51.950000,0.019000,7.320000,13.700000,16.500000,31.000000,79.044242
13.000000,0.033000,1.600000,10.100000,118.000000,51.850000,0.019000,7.180000,13.800000,18.200000,31.000000,79.065144
127.000000,0.040000,1.200000,11.000000,69.000000,101.800000,0.019000,7.200000,15.900000,152.000000,58.000000,69.227083
16.000000,0.030000,1.200000,11.000000,68.000000,98.000000,0.019000,7.000000,15.500000,152.000000,44.000000,70.425818
127.000000,0.040000,1.200000,11.000000,68.000000,99.600000,0.019000,7.000000,15.600000,152.000000,43.000000,70.267379
127.000000,0.030000,1.200000,9.000000,61.000000,90.400000,0.019000,7.000000,10.600000,152.000000,48.000000,71.243198
127.000000,0.040000,1.200000,9.000000,61.000000,87.100000,0.019000,6.900000,10.600000,152.000000,50.000000,71.596632
127.000000,0.030000,1.200000,10.000000,63.000000,88.400000,0.019000,6.800000,10.500000,152.000000,47.000000,71.582345
16.000000,0.040000,1.200000,10.000000,70.000000,92.100000,0.019000,7.000000,7.900000,152.000000,34.000000,71.797985
21.000000,0.050000,1.200000,11.000000,75.000000,91.800000,0.019000,6.900000,8.000000,152.000000,32.000000,71.957951
127.000000,0.030000,1.200000,10.000000,69.000000,91.400000,0.019000,6.800000,7.900000,152.000000,19.000000,74.676234
13.000000,0.040000,1.200000,18.600000,76.000000,46.950000,0.019000,6.900000,13.600000,152.000000,29.000000,80.283530
8.000000,0.036000,1.200000,18.600000,74.000000,47.500000,0.019000,6.700000,9.500000,152.000000,54.000000,78.070848
8.000000,0.046000,1.200000,18.600000,71.000000,47.250000,0.019000,6.700000,9.500000,152.000000,51.000000,78.363929
10.000000,0.034000,1.200000,18.600000,70.000000,48.250000,0.019000,6.700000,9.500000,152.000000,53.000000,78.000642
12.000000,0.044000,1.200000,18.600000,76.000000,46.900000,0.019000,6.800000,8.500000,152.000000,46.000000,78.846511
11.000000,0.040000,1.200000,18.600000,71.000000,48.700000,0.019000,6.700000,8.300000,152.000000,42.000000,78.805077
10.000000,0.040000,1.200000,18.600000,72.000000,46.950000,0.019000,6.800000,8.600000,152.000000,43.000000,79.086062
127.000000,0.040000,1.200000,18.600000,71.000000,47.550000,0.010000,7.100000,12.800000,152.000000,48.000000,78.547642
15.000000,0.008000,1.200000,11.000000,356.000000,57.660000,0.010000,6.610000,7.200000,22.000000,15.000000,81.329646
20.000000,0.000000,2.900000,12.100000,356.000000,58.450000,0.010000,6.900000,8.700000,24.000000,10.000000,81.144758
15.000000,0.047000,1.350000,7.900000,356.000000,56.040000,0.008000,5.840000,11.900000,20.000000,30.000000,78.284748
40.000000,0.008000,1.200000,11.600000,356.000000,56.360000,0.004000,6.570000,10.500000,38.000000,10.000000,81.637414
50.500000,0.025000,1.000000,18.600000,356.000000,58.650000,0.007000,6.900000,8.200000,36.000000,15.000000,81.098205
13.000000,0.000000,1.000000,10.200000,356.000000,56.285000,0.002000,7.330000,6.400000,21.000000,5.000000,81.655305
17.000000,0.000000,0.800000,9.800000,356.000000,56.300000,0.004000,6.460000,11.300000,23.000000,10.000000,81.651726
15.000000,0.002000,1.300000,18.600000,356.000000,54.870000,0.007000,7.140000,10.700000,26.000000,15.000000,81.995628
26.000000,0.017000,1.200000,18.600000,356.000000,55.250000,0.010000,6.970000,12.300000,22.800000,45.000000,77.251869
21.000000,0.011000,1.900000,18.600000,356.000000,54.400000,0.010000,7.210000,14.100000,26.000000,60.000000,76.276189
19.000000,0.016000,2.800000,18.600000,356.000000,54.575000,0.008000,6.660000,10.600000,21.000000,45.000000,77.383075
17.000000,0.000000,0.900000,18.600000,356.000000,54.870000,0.007000,6.600000,10.300000,33.000000,40.000000,77.717952
23.000000,0.000000,1.300000,18.600000,356.000000,54.285000,0.008000,6.870000,5.200000,22.000000,10.000000,82.137883
19.000000,0.004000,1.000000,18.600000,356.000000,55.155000,0.005000,7.430000,10.100000,31.000000,20.000000,81.926655
20.000000,0.008000,0.800000,18.600000,356.000000,54.075000,0.012000,6.990000,13.600000,24.000000,50.000000,77.092558
14.000000,0.002000,1.000000,18.600000,356.000000,54.510000,0.005000,6.560000,11.400000,26.000000,25.000000,79.010834
12.000000,0.004000,1.300000,18.600000,356.000000,55.705000,0.006000,6.870000,5.400000,20.000000,7.500000,81.794160
